,class_names
0,"Speech,Gush"
1,Toothbrush
2,"Goat,Music,Speech"
3,"Male singing,Child singing"
4,"Gunshot, gunfire,Cap gun"
5,"Smoke detector, smoke alarm"
6,"Singing,Bang"
7,"Music,Ping"
8,"Sink (filling or washing),Water tap, faucet,Water"
9,"Folk music,Music"
10,"Knock,Inside, small room"
11,"Blues,Country,Guitar,Acoustic guitar,Music,Musical instrument,Strum,Plucked string instrument,Bluegrass"
12,"Wind instrument, woodwind instrument,Shofar"
13,"Music,Music for children,Grunt,Speech,Child speech, kid speaking"
14,Train whistle
15,"Music,Rattle"
16,"Traditional music,Music"
17,"Heavy metal,Music,Cacophony"
18,"Singing,Bang"
19,"Music,Male singing"
20,Squeak
21,Ping
22,"Engine,Idling,Medium engine (mid frequency)"
23,"Liquid,Boiling"
24,"Walk, footsteps"
25,"Vehicle,Speech,Air brake"
26,"Organ,Electronic organ"
27,"Music,Ska"
28,"Radio,Speech"
29,"Horse,Neigh, whinny,Animal"
30,"Boat, Water vehicle,Ship"
31,Clarinet
32,"Music,Tender music"
33,"Ambulance (siren),Car alarm,Emergency vehicle,Siren"
34,"Singing,Carnatic music"
35,"Splinter,Wood"
36,"Female speech, woman speaking,Speech"
37,Run
38,"Sink (filling or washing),Water tap, faucet,Water"
39,"Timpani,Music"
40,"Flap,Clatter"
41,"Buzzer,Crackle,Speech"
42,"Folk music,Music"
43,"Bass guitar,Guitar,Acoustic guitar,Music,Musical instrument,Speech,Plucked string instrument"
44,"Reversing beeps,Truck,Vehicle"
45,"Roaring cats (lions, tigers)"
46,"Singing,Yodeling,Music"
47,"Tabla,Drum,Percussion"
48,"Speech,Camera,Inside, small room"
49,"Smash, crash"
50,"Sliding door,Speech"
51,"Music,Middle Eastern music,Soundtrack music"
52,"Music,Exciting music"
53,"Music,Shuffling cards,Speech"
54,"Cat,Domestic animals, pets,Meow,Speech"
55,"Music,Mandolin"
56,Chopping (food)
57,"Engine knocking,Engine"
58,Heart murmur
59,"Engine,Vehicle,Engine starting"
60,"Lawn mower,Music,Vehicle"
61,"Music,Bang,Speech"
62,Boing
63,"Theme music,Folk music,Music"
64,"Whale vocalization,Music"
65,Gong
66,Cupboard open or close
67,"Chink, clink"
68,Drawer open or close
69,"Music,Techno"
70,"Electric toothbrush,Speech,Inside, small room"
71,"Pump (liquid),Water"
72,"Music,Ukulele,Inside, large room or hall"
73,"Reversing beeps,Truck,Vehicle,Speech"
74,"Music,Wedding music,Happy music"
75,Humming
76,"Boat, Water vehicle,Motorboat, speedboat,Wind,Wind noise (microphone)"
77,"Dental drill, dentist's drill,Helicopter"
78,"Zipper (clothing),Speech"
79,"Television,Speech"
80,Doorbell
81,Pink noise
82,Car passing by
83,"Reversing beeps,Truck,Vehicle,Speech"
84,Snoring
85,"Boat, Water vehicle,Ship"
86,"Sheep,Bleat,Speech"
87,"Liquid,Music,Speech"
88,Coin (dropping)
89,"Jingle, tinkle"
90,"Tabla,Drum,Percussion"
91,"Wheeze,Sniff,Child speech, kid speaking"
92,"Computer keyboard,Music,Speech"
93,"Cutlery, silverware,Dishes, pots, and pans"
94,Shuffle
95,"Cat,Domestic animals, pets,Caterwaul,Animal"
96,"Finger snapping,Music"
97,Heart murmur
98,"Filing (rasp),Rub,Wood"
99,"Cymbal,Drum,Drum kit,Hi-hat,Rimshot,Bass drum,Percussion"
100,"Belly laugh,Speech"
